time_of_day,trains_online,trains_recuperating,post_treatment_status,ro0_status,ro1_status,ro2_status,product_m3_per_hr,onspec_permeate_m3_per_hr,offspec_permeate_m3_per_hr,ro_kw,grid_kw,energy_price
00:00,0.096774,0,0.032258,0.032258,0.032258,0.032258,16.339,16.339,0,50.752,235.06,0.1
00:15,0.096774,0,0.032258,0.032258,0.032258,0.032258,16.339,16.339,0,50.752,235.06,0.1
00:30,0.096774,0,0.032258,0.032258,0.032258,0.032258,16.339,16.339,0,50.752,235.06,0.1
00:45,0.096774,0,0.032258,0.032258,0.032258,0.032258,16.339,16.339,0,50.752,235.06,0.1
01:00,1.129,1.0323,0.032258,0.54839,0.54839,0.032258,16.339,16.339,174.28,592.1,776.41,0.1
01:15,1.129,1.0323,0.032258,0.54839,0.54839,0.032258,16.339,16.339,174.28,592.1,776.41,0.1
01:30,1.129,1.0323,0.032258,0.54839,0.54839,0.032258,16.339,16.339,174.28,592.1,776.41,0.1
01:45,1.129,0,0.54839,0.54839,0.54839,0.032258,190.62,190.62,0,592.1,847.86,0.1
02:00,1.129,0,0.54839,0.54839,0.54839,0.032258,190.62,190.62,0,592.1,847.86,0.1
02:15,1.129,0,0.54839,0.54839,0.54839,0.032258,190.62,190.62,0,592.1,847.86,0.1
02:30,1.129,0,0.54839,0.54839,0.54839,0.032258,190.62,190.62,0,592.1,847.86,0.1
02:45,1.129,0,0.54839,0.54839,0.54839,0.032258,190.62,190.62,0,592.1,847.86,0.1
03:00,1.129,0,0.54839,0.54839,0.54839,0.032258,190.62,190.62,0,592.1,847.86,0.1
03:15,1.129,0,0.54839,0.54839,0.54839,0.032258,190.62,190.62,0,592.1,847.86,0.1
03:30,1.129,0,0.54839,0.54839,0.54839,0.032258,190.62,190.62,0,592.1,847.86,0.1
03:45,1.129,0,0.54839,0.54839,0.54839,0.032258,190.62,190.62,0,592.1,847.86,0.1
04:00,1.129,0,0.54839,0.54839,0.54839,0.032258,190.62,190.62,0,592.1,847.86,0.1
04:15,1.129,0,0.54839,0.54839,0.54839,0.032258,190.62,190.62,0,592.1,847.86,0.1
04:30,1.129,0,0.54839,0.54839,0.54839,0.032258,190.62,190.62,0,592.1,847.86,0.1
04:45,2.0323,0.90323,0.54839,1,1,0.032258,190.62,190.62,152.5,1065.8,1321.5,0.1
05:00,2.0323,0.90323,0.54839,1,1,0.032258,190.62,190.62,152.5,1065.8,1321.5,0.1
05:15,2.9355,1.2903,0.54839,1,1,0.93548,277.76,277.76,217.85,1539.5,1831,0.1
05:30,2.9355,0,1,1,1,0.93548,492.06,492.06,3.5482,1539.5,1918.8,0.1
05:45,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
06:00,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
06:15,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
06:30,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
06:45,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
07:00,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
07:15,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
07:30,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
07:45,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
08:00,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
08:15,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
08:30,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
08:45,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
09:00,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
09:15,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
09:30,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
09:45,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
10:00,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
10:15,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
10:30,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
10:45,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
11:00,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
11:15,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
11:30,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
11:45,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
12:00,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
12:15,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
12:30,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
12:45,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
13:00,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
13:15,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
13:30,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
13:45,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
14:00,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
14:15,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
14:30,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
14:45,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
15:00,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
15:15,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
15:30,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
15:45,3,0,1,1,1,1,506.51,506.51,0,1573.3,1958.6,0.1
16:00,0,0,0,0,0,0,0,0,0,0,177.6,0.45
16:15,0,0,0,0,0,0,0,0,0,0,177.6,0.45
16:30,0,0,0,0,0,0,0,0,0,0,177.6,0.45
16:45,0,0,0,0,0,0,0,0,0,0,177.6,0.45
17:00,0,0,0,0,0,0,0,0,0,0,177.6,0.45
17:15,0,0,0,0,0,0,0,0,0,0,177.6,0.45
17:30,0,0,0,0,0,0,0,0,0,0,177.6,0.45
17:45,0,0,0,0,0,0,0,0,0,0,177.6,0.45
18:00,0,0,0,0,0,0,0,0,0,0,177.6,0.45
18:15,0,0,0,0,0,0,0,0,0,0,177.6,0.45
18:30,0,0,0,0,0,0,0,0,0,0,177.6,0.45
18:45,0,0,0,0,0,0,0,0,0,0,177.6,0.45
19:00,0,0,0,0,0,0,0,0,0,0,177.6,0.45
