timestamp,feed_flow_m3_per_hr,feed_status,product_flow_m3_per_hr,tank_volume_m3,tank_level,grid_kw,energy_price
2025-07-08T00:00:00,0,1,120,500,0.33333,9.5238,0.1
2025-07-08T01:00:00,177.39,1,110,567.39,0.37826,35.01,0.1
2025-07-08T02:00:00,177.39,1,100,644.78,0.42986,34.217,0.1
2025-07-08T03:00:00,177.39,1,100,722.17,0.48145,34.217,0.1
2025-07-08T04:00:00,177.39,1,110,789.57,0.52638,35.01,0.1
2025-07-08T05:00:00,177.39,1,130,836.96,0.55797,36.598,0.1
2025-07-08T06:00:00,177.39,1,175,839.35,0.55957,40.169,0.1
2025-07-08T07:00:00,177.39,1,205,811.74,0.54116,42.55,0.1
2025-07-08T08:00:00,177.39,1,225,764.13,0.50942,44.137,0.1
2025-07-08T09:00:00,177.39,1,215,726.52,0.48435,43.344,0.1
2025-07-08T10:00:00,177.39,1,205,698.91,0.46594,42.55,0.1
2025-07-08T11:00:00,177.39,1,195,681.3,0.4542,41.756,0.1
2025-07-08T12:00:00,177.39,1,190,668.7,0.4458,41.36,0.1
2025-07-08T13:00:00,177.39,1,190,656.09,0.43739,41.36,0.1
2025-07-08T14:00:00,177.39,1,195,638.48,0.42565,41.756,0.1
2025-07-08T15:00:00,177.39,1,205,610.87,0.40725,42.55,0.1
2025-07-08T16:00:00,177.39,1,235,553.26,0.36884,44.931,0.45
2025-07-08T17:00:00,177.39,1,245,485.65,0.32377,45.725,0.45
2025-07-08T18:00:00,177.39,1,235,428.04,0.28536,44.931,0.45
2025-07-08T19:00:00,177.39,1,205,400.43,0.26696,42.55,0.45
2025-07-08T20:00:00,177.39,1,175,402.83,0.26855,40.169,0.45
2025-07-08T21:00:00,177.39,1,155,425.22,0.28348,38.582,0.1
2025-07-08T22:00:00,177.39,1,145,457.61,0.30507,37.788,0.1
2025-07-08T23:00:00,177.39,1,135,500,0.33333,36.994,0.1
